filename,image_url,listing_url,rent,area_m2,layout,location
00000.jpg,https://img01.suumo.com/front/gazo/fr/bukken/799/100429235799/100429235799_co.jpg,https://suumo.jp/chintai/jnc_000098741086/?bc=100429235799,30.6万円,68.2m2,1SLDK,東京都杉並区永福４
00001.jpg,https://img01.suumo.com/front/gazo/fr/bukken/645/100428550645/100428550645_co.jpg,https://suumo.jp/chintai/jnc_000093524383/?bc=100428550645,31.6万円,68.2m2,12SLDK,東京都杉並区永福４
00002.jpg,https://img01.suumo.com/front/gazo/fr/bukken/391/100441088391/100441088391_co.jpg,https://suumo.jp/chintai/jnc_000099029728/?bc=100441088391,11.5万円,62.93m2,3LDK,東京都葛飾区柴又３
00003.jpg,https://img01.suumo.com/front/gazo/fr/bukken/142/100441063142/100441063142_co.jpg,https://suumo.jp/chintai/jnc_000099029752/?bc=100441063142,8.8万円,33.04m2,1LDK,東京都葛飾区堀切２
00004.jpg,https://img01.suumo.com/front/gazo/fr/bukken/274/100440946274/100440946274_co.jpg,https://suumo.jp/chintai/jnc_000099013992/?bc=100440946274,24.5万円,79.49m2,3LDK,東京都荒川区東日暮里６
00005.jpg,https://img01.suumo.com/front/gazo/fr/bukken/250/100440778250/100440778250_co.jpg,https://suumo.jp/chintai/jnc_000098970566/?bc=100440778250,10.3万円,30.27m2,1LDK,東京都荒川区東日暮里６
00006.jpg,https://img01.suumo.com/front/gazo/fr/bukken/477/100441127477/100441127477_co.jpg,https://suumo.jp/chintai/jnc_000099029746/?bc=100441127477,11.3万円,41.75m2,1LDK,東京都葛飾区東立石３
00007.jpg,https://img01.suumo.com/front/gazo/fr/bukken/884/100440583884/100440583884_co.jpg,https://suumo.jp/chintai/jnc_000098950090/?bc=100440583884,20万円,63.7m2,3LDK,東京都葛飾区東金町１
00008.jpg,https://img01.suumo.com/front/gazo/fr/bukken/572/100438880572/100438880572_co.jpg,https://suumo.jp/chintai/jnc_000098542487/?bc=100438880572,11万円,54.79m2,3DK,東京都葛飾区青戸１
00009.jpg,https://img01.suumo.com/front/gazo/fr/bukken/157/100440034157/100440034157_co.jpg,https://suumo.jp/chintai/jnc_000098842561/?bc=100440034157,15.3万円,56.36m2,2LDK,東京都葛飾区亀有３
00010.jpg,https://img01.suumo.com/front/gazo/fr/bukken/676/100431188676/100431188676_co.jpg,https://suumo.jp/chintai/jnc_000097756693/?bc=100431188676,14.8万円,56.22m2,2LDK,東京都葛飾区亀有３
00011.jpg,https://img01.suumo.com/front/gazo/fr/bukken/218/100425951218/100425951218_co.jpg,https://suumo.jp/chintai/jnc_000098602265/?bc=100425951218,15.6万円,58.62m2,2LDK,東京都葛飾区亀有３
00012.jpg,https://img01.suumo.com/front/gazo/fr/bukken/850/100439054850/100439054850_co.jpg,https://suumo.jp/chintai/jnc_000098711888/?bc=100439054850,21.5万円,75.61m2,3LDK,東京都葛飾区亀有３
